title,author,average_rating,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publisher,year
Malcolm X Speaks: Selected Speeches and Statements,Malcolm X,4.46,9780802132130,en-US,240.0,5018,69,Grove Weidenfeld,1994
Middlesex,Jeffrey Eugenides,4.0,9780312422158,eng,529.0,540349,19548,Picador USA,2003
This Is the Way the World Ends,James K. Morrow,3.75,9780156002080,eng,319.0,1312,81,Harcourt Brace & company,1995
Favorite Tales of Sholom Aleichem,Sholom Aleichem,4.26,9780517412947,en-US,692.0,66,6,Avenel Books,1990
The Coalwood Way: A Memoir  (Coalwood  #2),Homer Hickam,4.14,9780440237167,eng,400.0,1193,103,Island Books,2001
Looking for the Light: The Hidden Life and Art of Marion Post Wolcott,Paul Hendrickson,4.07,9780394577296,eng,297.0,14,3,Alfred A. Knopf,1992
The Adventuress,Audrey Niffenegger,3.33,9780810970526,eng,144.0,1058,148,Abrams,2006
Thanksgiving on Thursday (Magic Tree House  #27),Mary Pope Osborne,3.85,9780375806155,eng,73.0,6361,209,Random House Books for Young Readers,2002
Love Beyond Reason,Rachel Ryan,3.64,9780446616836,eng,272.0,1822,90,Grand Central Publishing,2005
A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell,4.31,9780465081424,eng,304.0,1797,166,Basic Books,2002
Dispatches from the Edge: A Memoir of War  Disasters  and Survival,Anderson Cooper,3.96,9780061132384,eng,212.0,7205,825,Harper,2006
You Can Draw: Star Wars,Bonnie Burton,4.05,9780756623432,eng,96.0,48,11,DK Children,2007
The Amen Corner,James Baldwin,3.9,9780375701887,eng,112.0,467,32,Vintage,1998
The Flying Sorcerers: More Comic Tales of Fantasy,Peter Haining,3.99,9781857237252,eng,383.0,2226,19,Orbit,1999
The Lost Blogs: From Jesus to Jim Morrison--The Historically Inaccurate and Totally  Fictitious Cyber Diaries of Everyone Worth Knowing,Paul       Davidson,3.61,9780446697385,eng,288.0,30,5,Warner Books,2009
i am 8-bit: Art Inspired by Classic Videogames of the '80s,Jon M. Gibson,4.11,9780811853194,en-US,156.0,114,12,Chronicle Books,2006
Half Asleep in Frog Pajamas,Tom Robbins,3.74,9781842430361,eng,389.0,18417,542,No Exit Press,2002
Bliss,Lynsay Sands,3.97,9780843949094,eng,394.0,1742,108,Leisure Books,2001
Fables  Vol. 5: The Mean Seasons,Bill Willingham,4.19,9781401204860,eng,166.0,20703,611,Vertigo,2005
Sherlock Holmes: The Complete Novels and Stories  Volume I,Arthur Conan Doyle,4.47,9780553212419,eng,1059.0,24087,554,Bantam Classics,1986
Trump: The Art of the Deal,Donald J. Trump,3.66,9780345479174,en-US,384.0,12748,948,Ballantine Books,2004
Gulliver's Travels,Jonathan Swift,3.57,9780141439495,eng,306.0,194738,3485,Penguin,2003
South Park and Philosophy: You Know  I Learned Something Today,Robert Arp,3.43,9781405161602,eng,273.0,1135,37,Blackwell Publishers,2006
The Adventures of Huckleberry Finn,Mark Twain,3.82,9781402726002,eng,305.0,364,27,Sterling,2006
Waiting for the Barbarians,J.M. Coetzee,3.94,9780140283358,eng,152.0,18097,1029,Penguin Books,1999
A Fine Balance,Rohinton Mistry,4.36,9781400030651,eng,603.0,112196,7546,Vintage,2001
The Inhuman Condition (Books of Blood  #4),Clive Barker,3.96,9780743417341,eng,180.0,6294,111,Pocket Books,2001
Marcovaldo,Italo Calvino,3.89,9780156572040,eng,128.0,5813,276,Mariner Books,1983
The Wakefield Legacy: The Untold Story (Sweet Valley High Magna Editions #2),Francine Pascal,3.94,9780553297942,eng,345.0,805,31,Bantam Books,1992
The Great Gatsby,F. Scott Fitzgerald,3.91,9780060098919,eng,6.0,258,58,Caedmon,2002
The Invisible Man,H.G. Wells,3.64,9780812504675,eng,178.0,313,39,Aerie,1992
Von Helden Und Schelmen: Tall Tales and Legends for Intermediate Students of German,Kurt Reiter,4.0,9780844222592,ger,88.0,4,2,McGraw-Hill,1989
Co. Aytch: A Confederate Memoir of the Civil War,Sam R. Watkins,4.13,9780684833248,eng,240.0,23,2,Touchstone Books,1997
Fiasco,Stanisław Lem,4.12,9780156306300,eng,322.0,2281,166,Mariner Books,1988
JLA: Earth 2,Grant Morrison,3.97,9781563896316,eng,96.0,5165,143,DC Comics,2000
Underground! The Disinformation Guide to Ancient Civilizations  Astonishing Archaeology and Hidden History,Preston Peet,3.84,9781932857191,eng,343.0,157,5,Disinformation Company,2005
Three by Annie Dillard: Pilgrim at Tinker Creek  An American Childhood  The Writing Life,Annie Dillard,4.34,9780060920647,en-US,617.0,562,42,Harper Perennial,1990
The Air-Conditioned Nightmare,Henry Miller,3.83,9780811201063,eng,292.0,2699,142,New Directions,1970
The Book of My Life,Girolamo Cardano,3.75,9781590170168,en-GB,320.0,72,12,NYRB Classics,2002
House Harkonnen (Prelude to Dune #2),Brian Herbert,3.67,9780553580303,eng,733.0,13161,206,Spectra Books,2001
The Abandoned (Harrow House  #4),Douglas Clegg,3.45,9780843954104,eng,370.0,229,23,Leisure Books,2005
Vegas Bites: A Werewolf Romance Anthology,L.A. Banks,4.12,9781600430015,en-US,346.0,195,6,Parker Publishing Llc,2006
Becoming a Contagious Christian,Bill Hybels,3.92,9780310210085,eng,224.0,1315,50,Zondervan,1996
The Real Trial of Oscar Wilde,Merlin Holland,4.04,9780007158058,eng,384.0,189,14,Harper Perennial,2004
The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,9780965307796,eng,440.0,202,10,Quality Paperback Book Club,2001
Tucket's Travels: Francis Tucket's Adventures In The West  1847-1849 (The Tucket Adventures  #1-5),Gary Paulsen,4.44,9780440419679,en-US,560.0,557,46,Yearling,2003
Marvels,Kurt Busiek,4.22,9780785100492,eng,216.0,23519,482,Marvel Comics,2007
Pretties (Uglies  #2),Scott Westerfeld,3.85,9780689865398,eng,370.0,211060,8890,Simon & Schuster Simon Pulse,2005
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,9780385326506,eng,144.0,2067,334,Delacorte Press,2001
The Total Library: Non-Fiction 1922-1986,Jorge Luis Borges,4.52,9780141183022,eng,560.0,164,17,Penguin Books Ltd,2001
Death Ship of Dartmouth (Knights Templar  #21),Michael Jecks,4.06,9780755323012,eng,352.0,7,1,Headline Book Publishing,2006
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,9781585424337,eng,320.0,88897,2334,Tarcherperigee,2005
Friday,Robert A. Heinlein,3.84,9780345414007,eng,384.0,23064,476,Del Rey,1997
Beowulf & Grendel: The Truth Behind England's Oldest Legend,John Grigsby,3.57,9781842931530,en-US,246.0,47,11,Watkins Publishing,2005
The Ends of the Earth: A Journey to the Frontiers of Anarchy,Robert D. Kaplan,4.12,9780679751236,eng,496.0,1278,74,Vintage,1997
Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,4.26,9780688172176,eng,352.0,15190,532,William Morrow Paperbacks,1999
Identity,Milan Kundera,3.68,9780060930318,eng,168.0,13601,611,Harper Perennial,1999
Juiced Official Strategy Guide,Doug Walsh,0.0,9780744005615,eng,112.0,0,0,BradyGames,2005
Dissecting Marilyn Manson,Gavin Baddeley,3.86,9780859653725,eng,192.0,526,9,Plexus Publishing,2007
Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,3.96,9780684868769,en-US,288.0,2769,200,Scribner,2002
ヒカルの碁 9、本戦開始,Yumi Hotta,4.27,9784088730226,jpn,207.0,9,2,集英社,2000
The Anime Encyclopedia: A Guide to Japanese Animation Since 1917,Jonathan Clements,4.04,9781933330105,eng,867.0,25,5,Stone Bridge Press,2006
Irish Blessings,Ashley Shannon,4.05,9780762404780,eng,128.0,29,2,Running Press,1999
Ranma 1/2  Vol. 36 (Ranma ½ (US 2nd)  #36),Rumiko Takahashi,4.14,9781421505077,eng,182.0,863,33,Viz Media,2006
Far to Go (Margaret Thursday  #2),Noel Streatfeild,3.81,9780440424949,eng,161.0,167,9,Yearling,1986
The Complete Herbal Handbook for the Dog and Cat,Juliette De Bairacli Levy,4.31,9780571161157,eng,368.0,106,7,Faber  Faber,1991
The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),Naguib Mahfouz,4.46,9780375413315,eng,1313.0,3347,245,Everyman's Library,2001
Melville: His World and Work,Andrew Delbanco,4.04,9780375702976,eng,448.0,273,37,Vintage,2006
犬夜叉 14,Rumiko Takahashi,4.3,9784091255846,jpn,192.0,13,1,小学館,2000
The Prydain Companion: A Reference Guide to Lloyd Alexander's Prydain Chronicles,Michael O. Tunnell,4.22,9780805072716,eng,281.0,83,4,Henry Holt and Company,2003
Wittgenstein's Poker: The Story of a Ten-Minute Argument Between Two Great Philosophers,David Edmonds,3.76,9780060936648,eng,368.0,2284,169,Ecco,2002
Cliffsnotes on Dostoevsky's Crime and Punishment,James Lamar Roberts,3.72,9780764586552,eng,128.0,30,0,Cliffs Notes,2000
Over The Moon (Mageverse #3.5),Angela Knight,3.9,9780425213438,eng,330.0,3681,92,Berkley Sensation,2007
Dead Souls,Nikolai Gogol,3.99,9780140448078,eng,464.0,47626,1221,Penguin Classics,2004
The Eyre Affair (Thursday Next  #1),Jasper Fforde,3.91,9780142001806,eng,374.0,97343,8068,Penguin Books,2003
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.75,9780307237699,eng,375.0,127324,4496,Crown,2006
La economía Long Tail,Chris Anderson,3.81,9788493464264,spa,318.0,24,3,Ediciones Urano,2007
Naked Empire (Sword of Truth  #8),Terry Goodkind,3.81,9780007145591,en-GB,685.0,171,6,Voyager,2004
Kissing in Manhattan,David Schickler,3.61,9780385335676,eng,288.0,2665,304,Dial Press Trade Paperback,2002
The Chase (Deed  #3),Lynsay Sands,4.06,9780843953244,eng,374.0,2098,68,Leisure Books,2004
The National Geographic Society: 100 Years of Adventure & Discovery,C.D.B. Bryan,4.11,9780810982192,en-US,528.0,10,2,Abradale Books,2001
Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,4.05,9780393311334,eng,288.0,2622,78,W. W. Norton  Company,2001
Charles Taylor,Ruth  Abbey,3.6,9780521805223,eng,220.0,14,0,Cambridge University Press,2004
The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,4.2,9780743262132,eng,697.0,12178,1042,Simon  Schuster,2004
Power vs. Force,David R. Hawkins,4.2,9781561709335,en-US,341.0,7167,376,Hay House,2002
Memory's Embrace (Corbins  #3),Linda Lael Miller,4.19,9780671737696,eng,320.0,407,18,Pocket Books,1991
The Book of the Dragon,Ciruelo Cabral,4.2,9781402728112,eng,144.0,372,15,Union Square Press,2005
Touch Not the Cat,Mary  Stewart,3.91,9780060823726,eng,372.0,5029,282,HarperTorch,2005
Critique of Pure Reason (Studies in the History of Philosophy),Immanuel Kant,3.94,9780773491670,eng,140.0,17,0,Edwin Mellen Press,1992
Ice Blue (Ice  #3),Anne Stuart,3.94,9780778324782,eng,378.0,3215,197,Mira Books,2007
Intimacy And Other Stories,Hanif Kureishi,3.58,9780571212002,eng,205.0,46,3,Faber and Faber,2001
Joy in the Morning (Jeeves  #8),P.G. Wodehouse,4.34,9781841591155,eng,296.0,38,0,Everyman,2002
Typee / Omoo / Mardi,Herman Melville,3.55,9780940450004,eng,1333.0,644,26,Library of America,1982
Bleach  Volume 19,Tite Kubo,4.36,9781421510439,eng,216.0,5922,81,VIZ Media LLC,2007
The Diary of Anaïs Nin  Vol. 6: 1955-1966,Anaïs Nin,4.13,9780156260329,eng,432.0,319,11,Mariner Books,1977
Child of Darkness (Gemini  #3),V.C. Andrews,3.81,9781416500506,eng,400.0,19,4,Gallery Books,2005
Aphrodite's Secret (Superhero Central #3),Julie Kenner,3.7,9780505525093,eng,369.0,410,20,Love Spell,2003
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,9780441294671,eng,423.0,2785,166,Ace Books,1987
The Sinner (Rizzoli & Isles  #3),Tess Gerritsen,4.13,9780553815023,eng,419.0,33678,1099,Bantem Press,2005
Lock 14,Georges Simenon,3.63,9780143037279,en-US,154.0,406,45,Penguin Books,2006
Political Philosophy: A Beginner's Guide for Students and Politicians,Adam Swift,3.93,9780745628479,eng,194.0,6,0,Polity Press,2001
View With a Grain of Sand: Selected Poems,Wisława Szymborska,4.33,9780156002165,eng,214.0,3479,211,Mariner Books,1995
The Mermaid Chair,Sue Monk Kidd,3.13,9780143036692,eng,368.0,68363,5816,Penguin Books,2006
The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook),Jean Houston,3.95,9780874778717,en-US,272.0,18,2,TarcherPerigee,1997
The Authority  Vol. 2: Under New Management,Warren Ellis,4.15,9781563897566,eng,200.0,4146,71,Wildstorm,2000
The Damned (Vampire Huntress  #6),L.A. Banks,4.28,9780312934439,eng,492.0,1993,38,St. Martin's Paperbacks,2007
The Johnstown Flood,David McCullough,4.11,9780844662923,eng,302.0,14739,1199,Peter Smith Publisher,1990
A Christmas Carol,Charles Dickens,4.05,9781580495790,eng,112.0,6671,490,Penguin Books,2012
Wizard's First Rule (Sword of Truth  #1),Terry Goodkind,4.13,9780765346520,eng,836.0,204648,4986,Tor Books,2003
Mao: The Unknown Story,Jung Chang,3.83,9780679746324,eng,801.0,8035,640,Anchor Books,2006
A Year in the Life of William Shakespeare: 1599,James Shapiro,4.09,9780060088743,eng,333.0,2330,252,Harper Perennial,2006
Doctor Who: Cat's Cradle-Time's Crucible,Marc Platt,3.22,9780426203650,eng,275.0,589,40,Virgin Publishing,1992
Anatomy of a Boyfriend (Anatomy  #1),Daria Snadowsky,3.41,9780385733205,eng,259.0,4470,485,Delacorte Press,2007
Learned Optimism: How to Change Your Mind and Your Life,Martin E.P. Seligman,4.0,9781400078394,eng,319.0,13891,628,Vintage,2006
The Admirable Crichton,J.M. Barrie,3.72,9781406955811,eng,88.0,304,36,Hard Press,2006
Watchfiends and Rack Screams: Works from the Final Period,Antonin Artaud,4.25,9781878972187,eng,352.0,261,14,Exact Change,2004
Civilization and Its Discontents,Sigmund Freud,3.78,9780393059953,eng,192.0,215,18,W. W. Norton  Company,2005
Manhunt Official Strategy Guide,Tim Bogenn,4.0,752073003227,eng,175.0,4,0,Bradygames,2003
Raven (Orphans  #4),V.C. Andrews,3.71,9780671020316,eng,192.0,4678,59,Pocket Books,1999
Jimmy Stewart: Bomber Pilot,Starr Smith,3.93,9780760328248,eng,320.0,441,57,Zenith Press,2006
Ring for Jeeves (Jeeves  #10),P.G. Wodehouse,4.01,9781585675241,eng,208.0,2785,183,Harry N. Abrams,2004
V.S. Naipaul,Bruce Alvin King,2.0,9781403904560,eng,240.0,0,0,Palgrave Macmillan,2003
Wideacre  (The Wideacre Trilogy  #1),Philippa Gregory,3.3,9780743249294,eng,656.0,18944,1547,Washington Square Press,2003
My Movie Business: A Memoir,John Irving,3.34,9780345441300,eng,222.0,1113,60,Ballantine Books,2000
Four Novels of the 1960s: The Man in the High Castle / The Three Stigmata of Palmer Eldritch / Do Androids Dream of Electric Sheep? / Ubik,Philip K. Dick,4.38,9781598530094,eng,830.0,1970,206,Library of America,2007
A Streetcar Named Desire (SparkNotes Literature Guide),SparkNotes,3.29,9781586634490,eng,96.0,0,0,SparkNotes,2002
Much Ado about Nothing,William Shakespeare,4.07,9780521618724,eng,196.0,128,12,Cambridge University Press,2005
Pippi Goes on Board,Astrid Lindgren,4.12,9780140309591,eng,140.0,10399,156,Puffin Books,1977
Culture Shock! Laos (Culture Shock!),Stephen  Mansfield,3.29,9781857331646,eng,220.0,12,1,Kuperard,2000
Virgin,James Patterson,3.86,9780070488205,eng,210.0,307,28,McGraw-Hill Companies,1980
Spider-Man: Saga of the Sandman,Stan Lee,3.43,9780785124979,eng,176.0,46,5,Marvel,2007
Huck Finn and Tom Sawyer Among the Indians,Mark Twain,3.57,9781555176808,eng,277.0,242,29,Council Press,2003
The Amateur Marriage,Anne Tyler,3.62,9780345472458,eng,342.0,12986,1112,Ballantine Books,2006
A Short History of Nearly Everything,Bill Bryson,4.21,9780767908184,eng,544.0,248558,9396,Broadway Books,2004
The Scotch-Irish: A Social History,James Graham Leyburn,3.97,9780807842591,eng,377.0,210,25,University of North Carolina Press,1989
The Dream and the Underworld,James Hillman,4.22,9780060906825,en-US,256.0,746,34,William Morrow Paperbacks,1979
The Making of Pride and Prejudice,Sue Birtwistle,4.45,9780140251579,eng,128.0,4244,99,Penguin Books Ltd,1995
White Fang,Kathleen Olmstead,4.24,9781402725005,en-US,160.0,713,31,Sterling,2006
The Beach House,James Patterson,3.84,9780446612548,eng,356.0,74386,1674,Grand Central Publishing,2003
The Pursuit of the Well-Beloved & The Well-Beloved,Thomas Hardy,3.61,9780140435191,eng,416.0,127,10,Penguin Classics,1997
Teaching English Abroad,Susan  Griffith,3.57,9781854583529,eng,576.0,38,6,Vacation Work Publications,2007
The Snow Spider (Snow Spider Trilogy  #1),Jenny Nimmo,3.7,9780439896757,en-US,146.0,2762,228,Orchard Books (NY),2006
The Frogs,Aristophanes,3.8,9781420926712,en-US,88.0,3,1,Digireads.com,2005
Julius Caesar,William Shakespeare,3.68,9781932219166,eng,3.0,53,3,Audio Partners,2005
Fables  Vol. 8: Wolves,Bill Willingham,4.27,9781401210014,eng,160.0,18799,568,Vertigo,2006
Crucible of War: The Seven Years' War and the Fate of Empire in British North America  1754 - 1766,Fred Anderson,4.16,9780375706363,eng,912.0,3103,114,Vintage,2001
What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905,Time-Life Books,3.66,34406054602,eng,168.0,44,4,Time Life Medical,1999
The Book of Imaginary Beings,Jorge Luis Borges,4.09,9780143039938,eng,236.0,5007,238,Penguin Books,2006
Geisha of Gion,Mineko Iwasaki,3.93,9780743430593,eng,334.0,1556,158,Pocket Books,2003
Lair of the White Worm,Bram Stoker,2.86,9780646418421,eng,120.0,2276,244,Deodand Publishing,2002
Sex and Reason,Richard A. Posner,3.91,9780674802803,eng,458.0,76,13,Harvard University Press,1992
My Sister's Keeper,Jodi Picoult,4.07,9780743454537,eng,423.0,986711,29652,Washington Square Press,2005
A Quiver Full of Arrows,Jeffrey Archer,3.78,9780312937690,eng,288.0,9214,179,St. Martin's Paperbacks,2005
The Final Unfinished Voyage of Jack Aubrey (Aubrey & Maturin #21),Patrick O'Brian,3.99,9780393060256,eng,144.0,2194,121,W. W. Norton  Company,2004
Cattus Petasatus: The Cat in the Hat in Latin,Dr. Seuss,4.17,9780865164710,lat,75.0,63,9,Bolchazy-Carducci Publishers,2005
Liberty Before Liberalism,Quentin Skinner,3.9,9780521638760,eng,156.0,131,10,Cambridge University Press,1998
The Lion's Game (John Corey  #2),Nelson DeMille,4.19,9780446679091,eng,720.0,26514,1008,Grand Central Publishing,2002
The Overcoat and Other Short Stories,Nikolai Gogol,4.21,9780486270579,,103.0,8944,196,Dover Publications,1992
The Rainbow,D.H. Lawrence,3.69,9780451530301,eng,544.0,15840,462,Signet,2009
Haiti  History  and the Gods,Joan Dayan,3.95,9780520213685,eng,362.0,37,1,University of California Press,1998
And Then There Were None,Agatha Christie,4.26,9780312330873,eng,264.0,625767,18785,St. Martin's Press,2004
Brainstorms: Philosophical Essays on Mind and Psychology,Daniel C. Dennett,3.95,9780262540377,eng,424.0,573,11,MIT Press,1981
The Laughing Corpse (Anita Blake  Vampire Hunter  #2),Laurell K. Hamilton,4.12,9780425204665,en-US,301.0,67686,1409,Berkley,2005
Little House on the Prairie (Little House  #3),Laura Ingalls Wilder,4.19,9780060885397,eng,309.0,635,30,HarperTrophy,2007
Love and Louis XIV: The Women in the Life of the Sun King,Antonia Fraser,3.9,9780385509848,eng,388.0,5680,216,Nan A. Talese,2007
The Leader In You: How to Win Friends  Influence People and Succeed in a Changing World,Dale Carnegie,4.08,9780671519988,eng,256.0,3713,103,Pocket Books,1995
Tristan Taormino's True Lust,Tristan Taormino,3.97,9781573441575,eng,200.0,72,6,Cleis Press,2002
Talking Philosophy: Dialogues with Fifteen Leading Philosophers,Bryan Magee,4.06,9780192854179,eng,288.0,24,4,OUP Oxford,2001
Writing Secure Code,Michael  Howard,4.01,9780735617223,en-US,768.0,328,10,Microsoft Press,2002
Pretty Face  Vol. 1,Yasuhiro Kano,3.83,9781421513683,eng,192.0,494,40,VIZ Media LLC,2007
The Mill on the Floss,George Eliot,3.79,9780141439624,eng,579.0,41816,1337,Penguin Classics,2003
Haunted,Chuck Palahniuk,3.59,9780224064453,eng,416.0,173,15,Jonathan Cape,2005
The Starry Rift,James Tiptree Jr.,3.81,9780312890216,eng,250.0,232,25,Orb Books,1994
Secrets of New York (Call of Cthulhu RPG),William    Jones,3.63,9781568821801,eng,180.0,27,2,Chaosium,2005
As I Crossed a Bridge of Dreams: Recollections of a Woman in Eleventh-Century Japan,Lady Sarashina,3.82,9780140442823,eng,148.0,527,54,Penguin Classics,1975
The Humanoids (Humanoids #1),Jack Williamson,3.75,9780312852535,eng,299.0,898,48,Orb Books,1996
Maggie: A Girl of the Streets and Other Short Fiction,Stephen Crane,3.33,9780553213553,eng,240.0,517,37,Bantam Classics,2006
Cities of Salt (مدن الملح #1),Abdul Rahman Munif,4.13,9780394755267,eng,627.0,856,105,Vintage,1989
The Bridegroom,Ha Jin,3.77,9780099422174,eng,225.0,49,9,Vintage,2001
Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life,Joanna Weaver,4.18,9781578562589,eng,256.0,14711,442,Waterbrook Press,2000
War and Peace,Leo Tolstoy,4.11,9780375760648,eng,1388.0,850,134,Modern Library,2002
Novels and Stories,Zora Neale Hurston,4.37,9780940450837,eng,1054.0,564,30,Library of America,1995
Master of Dragons (Mageverse #5),Angela Knight,4.22,9780425214244,eng,293.0,3190,56,Berkley Sensation,2007
Journey,James A. Michener,3.81,9780449218471,eng,336.0,1597,133,Fawcett,1994
Iron Man: Extremis,Warren Ellis,4.09,9780785122586,eng,160.0,10792,290,Marvel,2007
Voyage of Slaves (Flying Dutchman  #3),Brian Jacques,4.13,9780399245497,en-US,356.0,2288,69,Philomel Books,2006
My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2),Dixie Cash,3.88,9780061134234,eng,336.0,1226,120,William Morrow Paperbacks,2006
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,9780806523491,eng,240.0,50,5,Citadel,2005
  said the shotgun to the head.,Saul Williams,4.22,9780743470797,en-US,192.0,2762,214,MTV Books,2003
The Physician (Cole Family Trilogy  #1),Noah Gordon,4.37,9780751503890,eng,720.0,23114,1175,Little  Brown Book Group,2001
Midnight Brunch (Casa Dracula  #2),Marta Acosta,3.8,9781416520399,en-US,336.0,919,82,Gallery Books,2007
Extraordinary Popular Delusions & the Madness of Crowds (Great Minds),Charles Mackay,3.88,9781573928915,eng,724.0,33,4,Prometheus Books,2001
The Sea Hunters (The Sea Hunters #1),Clive Cussler,3.82,9780743480697,en-US,432.0,2004,58,Pocket Star,2003
Hunger,Lan Samantha Chang,3.92,9780140288483,eng,192.0,797,72,Penguin Books,2000
犬夜叉 8,Rumiko Takahashi,4.26,9784091252081,jpn,192.0,16,0,小学館,1998
Incident at Exeter,John G. Fuller,3.56,9780425039298,en-US,221.0,51,7,Berkley Books (NY),1978
Evolution and the Theory of Games,John Maynard Smith,4.0,9780521288842,eng,234.0,86,5,Cambridge University Press,1982
Hallowe'en Party (Hercule Poirot  #39),Agatha Christie,3.66,9780007120680,eng,336.0,20656,1246,Harper,2001
First Love and Other Stories,Ivan Turgenev,4.14,9780192836892,eng,304.0,1245,26,Oxford University Press  USA,1999
Malgudi Days,R.K. Narayan,4.21,9780143039655,eng,264.0,13518,473,Penguin Classics,2006
Billy Budd  Sailor,Herman Melville,3.12,9780140621754,eng,96.0,178,20,Penguin Books Ltd,1995
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson,3.67,9780306814556,eng,344.0,360,26,Da Capo Press,2005
Whites,Norman Rush,3.77,9780679738169,eng,160.0,382,42,Vintage,1992
Cigarettes Are Sublime,Richard Klein,3.81,9780822316411,en-US,232.0,138,18,Duke University Press Books,1995
The Barefoot Book Of Ballet Stories,Jane Yolen,4.21,9781841482644,eng,96.0,1,0,Barefoot Books,2004
A Short History of Nearly Everything,Bill Bryson,4.21,9780767923224,eng,624.0,352,37,Broadway Books,2005
The History of Rome  Books 21-30: The War with Hannibal,Livy,4.14,9780140441451,eng,711.0,3103,46,Penguin Classics,1972
Amelia Bedelia Goes Camping,Peggy Parish,4.13,9780060511067,eng,64.0,2082,76,Greenwillow Books,2003
The Girlhood Diary of Louisa May Alcott  1843-1846: Writings of a Young Author,Louisa May Alcott,3.91,9780736805995,eng,32.0,29,0,Capstone Press,2000
The Black Book,Orhan Pamuk,3.91,9781400078653,eng,466.0,6352,425,Vintage,2006
A Passage to India,E.M. Forster,3.68,9780140274233,en-GB,288.0,441,40,Penguin Books,1998
The King of Elfland's Daughter,Lord Dunsany,3.84,9780345431912,eng,240.0,4918,427,Del Rey,1999
Hickory Dickory Dock (Hercule Poirot  #32),Agatha Christie,3.75,9781572705647,eng,196.0,13515,368,AudioGO,2006
King Lear,William Shakespeare,3.91,9780743484954,eng,384.0,215,11,Simon  Schuster,2005
Jack London Illustrated: The Call of the Wild/White Fang/The Sea-Wolf/40 Short Stories,Jack London,4.26,9780517309803,eng,761.0,20,1,Random House Value Publishing,1993
Sherlock Holmes: The Unauthorized Biography,Nick Rennison,4.26,9780871139474,eng,304.0,29,6,Atlantic Monthly Press,2006
The Work of Work Servitude  Slavery and Labor in Medieval England,Allen J. Frantzen,3.0,9781873448038,eng,240.0,1,0,Cruithne Press,1994
Jojo's Bizarre Adventure  Tome 13: Le Maléfice de Dio (Stardust Crusaders  #1),Hirohiko Araki,4.31,9782290328026,,191.0,4,3,J'ai lu,2003
Scripta Minora: Hiero/Agesilaus/Constitution of the Lacedaemonians/Ways & Means/Cavalry Commander/Art of Horsemanship/On Hunting/Constitution of the Athenians,Xenophon,4.0,9780674992023,en-US,576.0,19,2,Harvard University Press,1925
High Performance MySQL: Optimization  Backups  Replication & Load Balancing,Jeremy D. Zawodny,4.23,9780596003067,eng,304.0,403,17,O'Reilly Media,2004
Hen's Teeth and Horse's Toes: Further Reflections in Natural History,Stephen Jay Gould,4.1,9780393311037,eng,413.0,1730,43,W.W. Norton & Company (NY),1994
Everything and Nothing,Jorge Luis Borges,4.38,9780811214001,eng,108.0,593,37,New Directions,1999
Galápagos,Kurt Vonnegut Jr.,3.88,9780385333870,eng,324.0,55850,1990,Dial Press,1999
Boeing Versus Airbus: The Inside Story of the Greatest International Competition in Business,John Newhouse,3.63,9781400043361,eng,254.0,247,28,Alfred A. Knopf,2007
I'll Be Home Before Midnight and I Won't Get Pregnant,Anthony E. Wolf,0.0,9780394755663,eng,288.0,0,0,Knopf Doubleday Publishing Group,1988
Object-Oriented Programming in C++,Richard Johnsonbaugh,4.07,9780130158857,eng,640.0,14,0,Prentice Hall,1999
Surveillance (Intervention  #1),Julian May,4.19,9780345355232,en-US,368.0,1355,15,Del Rey,1988
Lord John and the Private Matter (Lord John Grey  #1),Diana Gabaldon,3.7,9780770429454,eng,368.0,32446,1345,Seal,2005
The History of Sexuality  Volume 1: The Will to Knowledge,Michel Foucault,4.04,9780140268683,eng,168.0,313,27,Penguin,1998
Walden,Henry David Thoreau,3.79,9780691096124,eng,352.0,128351,3652,Princeton University Press,2004
Cover Her Face (Adam Dalgliesh #1),P.D. James,3.93,9780563528272,eng,2.0,17,4,BBC Physical Audio,2002
Numerical Recipes: Example Book C,William T. Vetterling,3.75,9780521437202,eng,336.0,7,0,Cambridge University Press,1992
